feature,importancia_media_abs
num__meta_alfabetizacao_2026_municipio,0.03255407305699198
num__meta_alfabetizacao_2025_municipio,0.03213037693159214
num__meta_alfabetizacao_2024_municipio,0.02618813505940102
num__ano,0.009390521338673323
num__meta_alfabetizacao_2025_uf,0.007194032939157705
num__meta_alfabetizacao_2024_uf,0.006883511070832461
num__meta_alfabetizacao_2026_uf,0.006233184703992623
cat__sigla_uf_MG,0.004819855077158656
cat__sigla_uf_RS,0.004238991126014147
cat__rede_Estadual,0.0023597087951261523
cat__rede_Municipal,0.0018454117120006394
cat__sigla_uf_SP,0.0017949833731598116
cat__sigla_uf_CE,0.0016348492698856109
cat__sigla_uf_BA,0.0014314868942577044
cat__sigla_uf_PA,0.0008154813225950124
cat__sigla_uf_GO,0.0007922888441669184
cat__sigla_uf_RJ,0.0005955417123197243
cat__sigla_uf_AM,0.0004989734731778298
cat__sigla_uf_PR,0.00035823253199517534
cat__sigla_uf_ES,0.0003181947699778903
cat__sigla_uf_MA,0.00017027847101323164
cat__sigla_uf_MT,0.00015410867273521955
cat__sigla_uf_PB,0.0001527980422669618
cat__sigla_uf_RN,0.00014836882539201115
cat__sigla_uf_MS,0.00013665635287919334
cat__sigla_uf_SE,0.00012904419190038724
cat__sigla_uf_PE,0.00010535244742031872
cat__sigla_uf_RO,9.995661311368171e-05
cat__sigla_uf_SC,9.678906128513824e-05
cat__sigla_uf_PI,9.102509765843934e-05
cat__sigla_uf_AL,3.272675665448332e-05
cat__sigla_uf_TO,2.8415172481254554e-05
cat__sigla_uf_AP,2.7217090332002675e-05
cat__sigla_uf_DF,4.3290213060875734e-06
cat__sigla_uf_AC,0.0
cat__rede_Privada,0.0
